dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
corral,1.0,1.0,0.85,0.875,0.8625,1.0,0.84
mofn-3-7-10,1.0,1.0,0.8738650657518582,1.0,1.0,1.0,1.89
mux6,0.9692307692307693,0.952923076923077,0.7255384615384616,0.6166153846153846,0.6095384615384616,0.9692307692307693,0.99
thyroid-new,0.9488372093023255,0.9534883720930232,0.9441860465116279,0.9581395348837208,0.9441860465116279,0.9534883720930232,1.22
solar-flare,0.9534615384615386,0.9783653846153847,0.9783653846153847,0.9752884615384616,0.9351923076923077,0.9752884615384616,39.95
threeOf9,0.9883114410812869,0.9941366837997336,0.9374643061107937,0.8144298496097468,0.7481819912430991,0.9765657719398438,2.73
xd6,0.9969230769230769,1.0,0.9424530795664816,0.8139730372720063,0.7245307956648163,1.0,2.0
cars1,0.8113274910743264,0.7704965920155794,0.7551768906199285,0.7653034728984096,0.7372606296656931,0.8215189873417723,3.62
tokyo1,0.918684554973822,0.9270069808027923,0.931173647469459,0.9217931937172775,0.897823952879581,0.9082406195462479,10.58
parity5_plus_5,0.6335357142857143,0.2953650793650794,0.3025714285714286,0.42793253968253975,0.5026626984126985,1.0,4.58
cleve,0.7424590163934427,0.8150819672131148,0.8214754098360656,0.7917486338797814,0.7158469945355191,0.7918579234972677,2.73
cleveland-nominal,0.534863387978142,0.560983606557377,0.5645901639344262,0.5971038251366121,0.5477595628415302,0.5545901639344262,3.17
parity5,0.02857142857142857,0.08571428571428572,0.0,0.15238095238095237,0.5,0.21904761904761902,0.88
Titanic,0.955684244391799,0.9396361615629845,0.9029715422187126,0.9495744494165133,0.9312362902518206,0.9587259805211896,7.32
MiceProtein,1.0,0.9981481481481481,0.9879629629629629,1.0,0.999074074074074,0.999074074074074,176.51
DiabeticMellitus,0.9821428571428571,0.8148496240601503,0.718734335839599,0.9394736842105263,0.9322055137844611,0.8575187969924812,1.89
conference_attendance,0.748326530612245,0.8740408163265305,0.8661224489795918,0.8740408163265305,0.8008163265306123,0.8173061224489796,1.91
CPMP-2015-classification,0.4895956873315364,0.5673674752920036,0.5200359389038633,0.5522192273135669,0.45910152740341414,0.5104222821203953,5.11
CPMP-2015-runtime-classification,0.43070979335130277,0.559748427672956,0.5028930817610062,0.5484276729559748,0.461078167115903,0.5028032345013477,5.29
ilpd-numeric,0.6432213380489242,0.7084143825523136,0.6654877689360448,0.715281461833186,0.691158267020336,0.7083701738874153,4.71
TuningSVMs,0.6475806451612903,0.6796370967741935,0.6284274193548387,0.6411290322580645,0.603024193548387,0.6284274193548387,1.41
regime_alimentaire,0.915609756097561,0.896219512195122,0.881219512195122,0.940609756097561,0.9407317073170731,0.9208536585365852,0.94
